#MS[Elapsed time (ms)];ERR[Error];SP[SetPoint];COM[Command];CMD[Cmd];KP[Kp gain];KI[Ki gain];KD[Kd gain];SPE[Speed];SPM[Av. speed]
1490.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
1500.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
1510.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
1520.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
1530.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;2.0000
1540.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;2.0000
1550.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1560.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
1570.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;10.0000
1580.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1590.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1600.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
1610.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;11.0000
1620.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1630.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1640.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1650.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1660.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1670.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1680.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1690.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1700.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1710.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1720.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;12.0000;12.0000
1730.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;12.0000
1740.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1750.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;11.0000;11.0000
1760.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;11.0000
1770.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1780.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1790.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;10.0000;10.0000
1800.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;10.0000
1810.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
1820.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
1830.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
1840.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;2.0000
1850.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
1860.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
1870.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
1880.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
