#MS;#ERR;#SP;#COM;#CMD;#KP;#KI;#KD;#SPE;#SPM
#Elapsed time (ms);#Error;#SetPoint;#Command;#Cmd;#Kp gain;#Ki gain;#Kd gain;#Speed;#Av. speed
3209.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3229.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3249.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3269.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3289.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3309.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3329.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3349.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3369.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3389.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3409.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3429.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;2.0000;2.0000
3449.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
3469.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;1.0000;1.0000
3489.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3509.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3529.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3549.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3569.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3589.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3609.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3629.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3649.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3669.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3689.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
3709.0000;0.0000;0.0000;0.0000;0.0000;0.0800;0.0200;0.0200;0.0000;0.0000
